person_id,has_permission
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,1
